f_phasing,altitude_plane_1_km,inclination_plane_1_deg,high_q_plane_1,med_q_plane_1,low_q_plane_1,altitude_plane_2_km,inclination_plane_2_deg,high_q_plane_2,med_q_plane_2,low_q_plane_2,altitude_plane_3_km,inclination_plane_3_deg,high_q_plane_3,med_q_plane_3,low_q_plane_3,altitude_plane_4_km,inclination_plane_4_deg,high_q_plane_4,med_q_plane_4,low_q_plane_4,altitude_plane_5_km,inclination_plane_5_deg,high_q_plane_5,med_q_plane_5,low_q_plane_5,altitude_plane_6_km,inclination_plane_6_deg,high_q_plane_6,med_q_plane_6,low_q_plane_6,altitude_plane_7_km,inclination_plane_7_deg,high_q_plane_7,med_q_plane_7,low_q_plane_7,altitude_plane_8_km,inclination_plane_8_deg,high_q_plane_8,med_q_plane_8,low_q_plane_8,altitude_plane_9_km,inclination_plane_9_deg,high_q_plane_9,med_q_plane_9,low_q_plane_9,altitude_plane_10_km,inclination_plane_10_deg,high_q_plane_10,med_q_plane_10,low_q_plane_10,total_system_cost_usd,mean_revisit_time_hr,mean_achieved_quality
1,523.89,70.55,5,2,8,743.6,38.97,4,8,5,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,153650000.0,2.6873,0.2915
1,368.72,51.01,7,8,2,301.14,77.48,4,9,5,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,193725000.0,8.5085,0.5843
2,518.09,44.4,3,1,3,575.52,51.66,5,1,5,445.87,38.85,5,1,2,482.02,97.09,4,3,3,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,219150000.0,4.2702,0.3975
1,354.59,41.95,1,0,2,713.93,75.88,4,2,2,684.39,42.16,1,2,4,628.36,93.66,1,1,1,501.36,26.13,1,8,3,733.62,34.06,6,9,5,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,260600000.0,2.0239,0.285
0,743.33,87.5,3,5,10,459.32,96.15,0,0,2,590.69,68.25,1,0,3,718.87,81.62,3,5,4,778.3,41.7,7,3,7,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,237425000.0,1.8212,0.2633
0,468.29,41.92,4,5,10,788.44,88.54,0,0,5,735.47,86.22,3,3,12,417.71,36.68,2,4,10,329.77,52.16,1,2,3,340.36,57.08,2,1,2,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,249975000.0,3.4307,0.3602
1,742.64,83.41,0,1,3,442.41,86.0,0,1,1,397.6,85.99,0,1,12,711.03,47.68,2,0,4,519.92,47.35,4,2,10,406.76,78.54,0,0,4,763.9,59.3,1,3,4,340.41,52.21,6,2,5,638.22,51.24,4,2,2,-1.0,-1.0,-1,-1,-1,293500000.0,3.1418,0.3189
1,678.13,82.7,2,2,5,564.67,89.65,2,3,3,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,74025000.0,7.9788,0.3076
3,717.82,29.89,0,9,10,468.01,97.94,0,2,2,460.29,92.72,8,1,1,306.08,51.8,2,9,9,600.19,62.17,7,2,5,791.25,38.08,1,1,2,445.08,72.65,0,4,1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,346500000.0,2.4531,0.346
2,733.34,86.98,1,1,3,606.48,35.74,7,7,2,571.23,64.33,4,4,4,738.02,44.47,6,4,1,486.53,67.14,6,0,7,645.17,59.97,0,0,2,737.32,36.21,1,3,9,424.56,71.75,0,0,2,317.48,72.27,1,2,1,-1.0,-1.0,-1,-1,-1,401175000.0,1.3745,0.3178
2,603.26,74.25,0,0,4,756.12,49.04,2,15,2,314.05,41.8,4,3,8,680.6,37.46,4,0,5,461.53,67.11,5,0,7,623.31,56.52,0,2,15,427.0,34.51,2,0,1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,321850000.0,2.1941,0.3192
3,507.67,85.15,0,7,6,497.69,51.51,2,2,3,595.17,93.73,5,5,7,520.95,74.53,0,4,4,431.6,57.77,6,5,7,578.96,34.37,5,3,9,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,347550000.0,2.7084,0.357
2,361.08,77.62,1,0,2,594.46,78.57,0,1,2,326.55,40.66,2,4,14,585.95,86.65,6,5,6,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,170700000.0,5.4341,0.3797
0,632.36,36.27,0,5,4,560.45,62.62,7,10,2,671.56,52.05,3,6,5,452.05,92.74,6,7,7,398.02,41.63,0,1,2,779.33,72.97,4,7,5,752.29,69.8,1,4,6,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,428300000.0,1.2981,0.3079
3,619.86,92.74,0,8,5,587.04,85.19,1,0,2,419.55,56.57,4,7,4,742.48,95.32,1,4,2,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,160025000.0,5.1409,0.3315
1,441.41,62.95,1,0,3,767.44,64.78,5,2,4,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,80600000.0,3.4149,0.2761
1,391.13,39.76,1,14,3,348.33,95.35,3,5,6,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,133325000.0,8.053,0.5007
0,505.31,81.99,2,15,3,478.29,57.79,4,4,3,617.06,46.04,2,1,3,754.88,47.13,5,2,7,303.36,71.63,4,4,4,480.47,26.59,1,0,2,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,325850000.0,2.461,0.3473
0,612.64,80.19,7,4,8,751.53,97.07,3,5,7,301.53,43.25,8,5,5,402.37,50.08,0,2,13,735.97,60.63,3,1,1,798.16,46.81,2,4,6,391.58,52.2,6,1,12,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,468600000.0,1.7852,0.3141
3,698.52,87.34,2,5,4,358.17,91.95,3,3,5,323.68,68.84,1,3,6,379.55,90.41,5,4,4,742.79,79.4,3,9,3,661.82,53.29,11,0,9,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,403300000.0,1.9753,0.3141
1,575.1,50.89,1,1,2,721.66,33.19,4,5,6,762.08,86.01,0,5,6,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,118325000.0,4.0544,0.263
0,310.12,41.88,4,7,6,664.01,85.68,14,2,3,787.59,50.21,4,0,3,390.22,90.71,1,1,1,438.77,66.24,3,2,2,642.8,93.31,6,2,6,532.42,34.24,2,3,4,418.42,47.04,6,10,3,587.43,57.01,6,5,4,558.48,63.31,2,4,2,693200000.0,1.1933,0.3447
0,628.16,95.25,2,2,2,597.54,54.48,2,4,6,624.97,75.68,5,2,9,493.46,63.02,2,4,6,719.35,91.83,0,3,3,520.75,63.38,1,2,4,309.56,60.94,7,0,5,515.87,96.08,3,1,4,759.41,74.22,1,0,3,-1.0,-1.0,-1,-1,-1,375100000.0,2.0505,0.3738
2,539.22,97.5,2,5,7,650.61,66.13,0,0,2,534.88,57.52,3,1,2,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,93050000.0,6.4397,0.3581
2,329.88,97.09,4,4,4,603.37,93.1,1,6,10,758.18,26.62,8,1,3,556.03,43.43,3,0,3,333.06,64.63,3,3,7,343.32,48.75,7,5,8,664.83,50.77,5,5,4,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,477200000.0,2.2151,0.3584
